Item;Smu1_V(1)(1);Smu1_I(1)(1);Smu1_R(1)(1);Smu1_Time(1)(1);
1;-1;-1,75826098711696E-05;56874,37890625;9,984375;
2;-0,990000009536743;-2,33470927923918E-05;42403,56640625;20,052734375;
3;-0,980000019073486;-2,62414196186E-05;37345,54296875;30,1220703125;
4;-0,970000028610229;-2,88422033918323E-05;33631,2734375;40,19140625;
5;-0,959999978542328;-3,01730815408519E-05;31816,4375;50,259765625;
6;-0,949999988079071;-3,12367992592044E-05;30412,84765625;60,328125;
7;-0,939999997615814;-3,15587858494837E-05;29785,68359375;70,3974609375;
8;-0,930000007152557;-3,14833559968974E-05;29539,41796875;80,466796875;
9;-0,920000016689301;-3,11250259983353E-05;29558,208984375;90,537109375;
10;-0,910000026226044;-3,05662288155872E-05;29771,419921875;100,60546875;
11;-0,899999976158142;-3,00717838399578E-05;29928,38671875;110,6748046875;
12;-0,889999985694885;-2,94224628305528E-05;30248,99609375;120,7421875;
13;-0,879999995231628;-2,88436494884081E-05;30509,314453125;130,8115234375;
14;-0,870000004768372;-2,83455065073213E-05;30692,6953125;140,880859375;
15;-0,860000014305115;-2,77613107755315E-05;30978,365234375;150,9501953125;
16;-0,850000023841858;-2,72833185590571E-05;31154,568359375;161,01953125;
17;-0,839999973773956;-2,68137482635211E-05;31327,2109375;171,08984375;
18;-0,829999983310699;-2,63225374510512E-05;31531,9140625;181,16015625;
19;-0,819999992847443;-2,58131240116199E-05;31766,787109375;191,2275390625;
20;-0,810000002384186;-2,52898134931456E-05;32028,70703125;201,2958984375;
21;-0,800000011920929;-2,48187352553941E-05;32233,71484375;211,365234375;
22;-0,790000021457672;-2,43629892793251E-05;32426,234375;221,435546875;
23;-0,779999971389771;-2,39056316786446E-05;32628,29296875;231,5068359375;
24;-0,769999980926514;-2,34756116697099E-05;32799,99609375;241,576171875;
25;-0,759999990463257;-2,30466011998942E-05;32976,6640625;251,6455078125;
26;-0,75;-2,26363899855642E-05;33132,4921875;261,71484375;
27;-0,740000009536743;-2,2191321477294E-05;33346,37109375;271,78515625;
28;-0,730000019073486;-2,1725118131144E-05;33601,66015625;281,853515625;
29;-0,720000028610229;-2,12495360756293E-05;33883,09375;291,9228515625;
30;-0,709999978542328;-2,07863849936984E-05;34156,97265625;301,990234375;
31;-0,699999988079071;-2,03414292627713E-05;34412,52734375;312,0595703125;
32;-0,689999997615814;-1,99101323232753E-05;34655,72265625;322,130859375;
33;-0,680000007152557;-1,94374588318169E-05;34983,99609375;332,2001953125;
34;-0,670000016689301;-1,88971189345466E-05;35455,140625;342,26953125;
35;-0,660000026226044;-1,8585105863167E-05;35512,30859375;352,3388671875;
36;-0,649999976158142;-1,8164144421462E-05;35784,78515625;362,408203125;
37;-0,639999985694885;-1,77915135282092E-05;35972,20703125;372,478515625;
38;-0,629999995231628;-1,73962052940624E-05;36214,79296875;382,546875;
39;-0,620000004768372;-1,69841950992122E-05;36504,52734375;392,6171875;
40;-0,610000014305115;-1,65735109476373E-05;36805,72265625;402,6865234375;
41;-0,600000023841858;-1,61506522999844E-05;37150,203125;412,7548828125;
42;-0,589999973773956;-1,57616832439089E-05;37432,546875;422,82421875;
43;-0,579999983310699;-1,53670061990852E-05;37743,19921875;432,89453125;
44;-0,569999992847443;-1,49625402627862E-05;38095,13671875;442,962890625;
45;-0,560000002384186;-1,45905260069412E-05;38381,0703125;453,0322265625;
46;-0,550000011920929;-1,42178741953103E-05;38683,703125;463,1025390625;
47;-0,540000021457672;-1,38412342494121E-05;39013,86328125;473,1708984375;
48;-0,529999971389771;-1,34604351842427E-05;39374,65234375;483,2412109375;
49;-0,519999980926514;-1,30930984596489E-05;39715,578125;493,310546875;
50;-0,509999990463257;-1,27625762615935E-05;39960,58203125;503,37890625;
51;-0,5;-1,24192547446E-05;40260,06640625;513,447265625;
52;-0,490000009536743;-1,20859949674923E-05;40542,79296875;523,517578125;
53;-0,479999989271164;-1,17494182632072E-05;40853,0859375;533,5869140625;
54;-0,469999998807907;-1,14273016151856E-05;41129,5703125;543,6552734375;
55;-0,46000000834465;-1,10989749373402E-05;41445,26953125;553,724609375;
56;-0,449999988079071;-1,0764554644993E-05;41803,86328125;563,794921875;
57;-0,439999997615814;-1,03715428849682E-05;42423,7734375;573,8642578125;
58;-0,430000007152557;-1,00182105597924E-05;42921,8359375;583,93359375;
59;-0,419999986886978;-9,59630597208161E-06;43766,83984375;604,052734375;
60;-0,409999996423721;-9,24330015550368E-06;44356,453125;614,12109375;
61;-0,400000005960464;-8,86899215402082E-06;45100,953125;624,19140625;
62;-0,389999985694885;-8,4878847701475E-06;45947,84375;634,2607421875;
63;-0,379999995231628;-8,13214865047485E-06;46728,1171875;644,328125;
64;-0,370000004768372;-7,76588785811327E-06;47644,26171875;654,3984375;
65;-0,360000014305115;-7,33288334231474E-06;49093,921875;664,466796875;
66;-0,349999994039536;-6,95923881721683E-06;50292,85546875;674,53515625;
67;-0,340000003576279;-6,58212229609489E-06;51655,07421875;684,6025390625;
68;-0,330000013113022;-6,19942920820904E-06;53230,7109375;694,671875;
69;-0,319999992847443;-5,78603157919133E-06;55305,609375;704,740234375;
70;-0,310000002384186;-5,40523296876927E-06;57351,83203125;714,8095703125;
71;-0,300000011920929;-5,02315606354387E-06;59723,41015625;724,876953125;
72;-0,28999999165535;-4,64452887172229E-06;62439,0546875;734,9462890625;
73;-0,280000001192093;-4,2775432120834E-06;65458,13671875;745,015625;
74;-0,270000010728836;-3,91969751944998E-06;68882,8671875;755,0859375;
75;-0,259999990463257;-3,5812604437524E-06;72600,1328125;765,154296875;
76;-0,25;-3,25482938023924E-06;76808,9453125;775,2236328125;
77;-0,239999994635582;-2,95466065836081E-06;81227,6015625;785,29296875;
78;-0,230000004172325;-2,6767820600071E-06;85924,0703125;795,361328125;
79;-0,219999998807907;-2,41908492171206E-06;90943,4765625;805,4306640625;
80;-0,209999993443489;-2,18420518649509E-06;96144,8125;815,5;
81;-0,200000002980232;-1,97318149730563E-06;101359,1484375;825,5673828125;
82;-0,189999997615814;-1,77387789790373E-06;107109,9609375;835,63671875;
